"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 22:45:24 GMT 2024","Wed Oct 16 22:45:32 GMT 2024","7554","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-390 Verify 'Назад' button",""
"passed","Wed Oct 16 22:44:33 GMT 2024","Wed Oct 16 22:44:36 GMT 2024","3178","chromium","createUnit.spec.ts","Create unit functionality","","","TC-326 Verify 'Скасувати'  button",""
"passed","Wed Oct 16 22:45:33 GMT 2024","Wed Oct 16 22:45:47 GMT 2024","13868","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-594 Verify image moving",""
"passed","Wed Oct 16 22:42:58 GMT 2024","Wed Oct 16 22:44:32 GMT 2024","94334","chromium","createUnit.spec.ts","Create unit functionality","","","TC-318 Verify description section",""
"passed","Wed Oct 16 22:45:07 GMT 2024","Wed Oct 16 22:45:15 GMT 2024","8448","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-384 Verify same images uploading",""
"passed","Wed Oct 16 22:45:24 GMT 2024","Wed Oct 16 22:45:33 GMT 2024","8061","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-393 Verify 'Далі' button",""
"passed","Wed Oct 16 22:45:16 GMT 2024","Wed Oct 16 22:45:24 GMT 2024","8161","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-401 Verify uploading of invalid file type",""
"passed","Wed Oct 16 22:46:57 GMT 2024","Wed Oct 16 22:47:02 GMT 2024","4726","chromium","signIn.spec.ts","Auth page testing","","","TC-207 Authorization with invalid phone",""
"passed","Wed Oct 16 22:42:17 GMT 2024","Wed Oct 16 22:42:22 GMT 2024","5602","chromium","createUnit.spec.ts","Create unit functionality","","","TC-297 Verify unit name section",""
"passed","Wed Oct 16 22:42:08 GMT 2024","Wed Oct 16 22:42:13 GMT 2024","4560","chromium","createUnit.spec.ts","Create unit functionality","","","TC-294 Verify body title and tab titles",""
"passed","Wed Oct 16 22:42:33 GMT 2024","Wed Oct 16 22:44:16 GMT 2024","102187","chromium","createUnit.spec.ts","Create unit functionality","","","TC-317 Verify technical characteristics section",""
"passed","Wed Oct 16 22:47:13 GMT 2024","Wed Oct 16 22:47:18 GMT 2024","4880","chromium","signIn.spec.ts","Auth page testing","","","TC-201 Authorization with valid email and password",""
"passed","Wed Oct 16 22:42:08 GMT 2024","Wed Oct 16 22:42:16 GMT 2024","7669","chromium","consultationForm.spec.ts","Consulting form functionality","","","TC-226: Verify 'У Вас залишилися питання?' form",""
"broken","Wed Oct 16 22:47:22 GMT 2024","Wed Oct 16 22:47:55 GMT 2024","33153","chromium","main.spec.ts","Main page testing","","","TC-213: Checking 'Спецтехніка' section on the main page",""
"passed","Wed Oct 16 22:47:03 GMT 2024","Wed Oct 16 22:47:07 GMT 2024","4368","chromium","signIn.spec.ts","Auth page testing","","","TC-576 Authorization with invalid email",""
"passed","Wed Oct 16 22:42:13 GMT 2024","Wed Oct 16 22:42:56 GMT 2024","43000","chromium","createUnit.spec.ts","Create unit functionality","","","TC-296 Verify category (Категорія) section",""
"passed","Wed Oct 16 22:45:48 GMT 2024","Wed Oct 16 22:46:03 GMT 2024","15127","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-595 Verify image deleting",""
"passed","Wed Oct 16 22:45:03 GMT 2024","Wed Oct 16 22:45:15 GMT 2024","11700","chromium","createUnit.spec.ts","Create unit functionality","","","TC-329 Verify 'Далі' button",""
"passed","Wed Oct 16 22:45:32 GMT 2024","Wed Oct 16 22:45:45 GMT 2024","13360","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-593 Verify image uploading",""
"passed","Wed Oct 16 22:42:23 GMT 2024","Wed Oct 16 22:42:28 GMT 2024","5594","chromium","createUnit.spec.ts","Create unit functionality","","","TC-298 Verify vehicle manufacturer section",""
"failed","Wed Oct 16 22:44:51 GMT 2024","Wed Oct 16 22:45:05 GMT 2024","14232","chromium","createUnit.spec.ts","Create unit functionality","","","TC-319 Verify vehicle location division",""
"passed","Wed Oct 16 22:47:19 GMT 2024","Wed Oct 16 22:47:27 GMT 2024","8431","chromium","signIn.spec.ts","Auth page testing","","","TC-202 Authorization with valid phone and password",""
"passed","Wed Oct 16 22:46:53 GMT 2024","Wed Oct 16 22:46:57 GMT 2024","3607","chromium","signIn.spec.ts","Auth page testing","","","TC-200 Authorization with empty fields",""
"passed","Wed Oct 16 22:42:28 GMT 2024","Wed Oct 16 22:42:33 GMT 2024","4693","chromium","createUnit.spec.ts","Create unit functionality","","","TC-299 Verify model name input field",""
"passed","Wed Oct 16 22:45:50 GMT 2024","Wed Oct 16 22:45:55 GMT 2024","5574","chromium","footer.spec.ts","Footer functionality","","","TC-214: Verify that all elements on the footer are displayed and all links are clickable",""
"passed","Wed Oct 16 22:47:08 GMT 2024","Wed Oct 16 22:47:13 GMT 2024","4670","chromium","signIn.spec.ts","Auth page testing","","","TC-577 Authorization with invalid password",""
"passed","Wed Oct 16 22:45:16 GMT 2024","Wed Oct 16 22:45:24 GMT 2024","8557","chromium","createUnitPhoto.spec.ts","test create unit photo section","","","TC-405 Verify uploading of invalid size file",""
"passed","Wed Oct 16 22:45:56 GMT 2024","Wed Oct 16 22:46:51 GMT 2024","54866","chromium","main.spec.ts","Main page testing","","","TC-212: Checking 'Послуги' section on the main page",""
